"gid","ix1","ix2","gx","y"
9,3,3,6,1
9,5,2,6,0
9,4,4,6,0
9,4,4,6,0
9,4,5,6,1
9,4,3,6,0
9,4,5,6,1
9,4,4,6,1
9,4,3,6,0
9,6,4,6,0
9,6,6,6,1
9,5,3,6,0
9,5,4,6,1
9,5,4,6,1
9,4,3,6,0
9,4,5,6,1
9,5,6,6,1
9,2,5,6,0
9,4,4,6,0
9,3,4,6,0
9,5,5,6,1
9,5,5,6,1
9,4,4,6,0
9,4,5,6,1
9,3,5,6,0
9,6,5,6,0
9,4,4,6,0
9,5,4,6,0
9,6,3,6,1
9,5,4,6,0
9,4,5,6,0
9,4,3,6,0
9,6,4,6,0
9,5,2,6,0
10,4,4,4,0
10,5,4,4,0
10,3,5,4,0
10,4,5,4,0
10,5,4,4,0
10,3,6,4,0
10,4,3,4,0
10,5,3,4,0
10,4,6,4,0
10,3,4,4,0
10,4,5,4,0
10,3,5,4,0
10,2,4,4,0
10,4,6,4,0
10,3,6,4,1
10,4,5,4,0
10,4,4,4,0
10,3,5,4,0
10,5,4,4,0
10,3,4,4,0
10,4,4,4,0
10,2,5,4,0
10,6,3,4,0
10,5,6,4,0
10,4,5,4,0
10,3,6,4,0
10,4,4,4,0
10,3,5,4,0
10,5,4,4,0
10,4,4,4,0
10,4,5,4,0
10,2,2,4,0
10,4,3,4,0
10,3,4,4,0
10,4,4,4,0
10,4,4,4,0
10,4,5,4,0
10,5,4,4,0
10,4,5,4,0
10,5,4,4,0
11,3,5,2,0
11,3,4,2,0
11,4,4,2,0
11,3,3,2,0
11,5,4,2,0
11,2,2,2,0
11,4,5,2,0
11,4,4,2,0
11,4,5,2,0
11,3,6,2,0
11,3,6,2,0
11,4,2,2,0
11,4,4,2,0
11,3,5,2,0
11,4,5,2,0
11,4,4,2,0
11,4,4,2,0
11,4,5,2,0
11,4,5,2,0
11,4,5,2,0
11,5,5,2,0
11,4,5,2,0
11,6,5,2,0
11,4,5,2,0
11,5,3,2,0
11,5,2,2,0
11,5,3,2,0
11,5,3,2,0
11,3,4,2,0
11,4,5,2,0
11,4,3,2,0
11,3,3,2,0
11,4,6,2,0
11,3,6,2,0
11,4,5,2,0
11,6,4,2,0
11,4,5,2,0
11,3,5,2,0
11,4,5,2,0
11,3,2,2,0
11,4,3,2,0
12,4,5,2,1
12,5,2,2,1
12,2,4,2,1
12,5,3,2,1
12,4,5,2,1
12,4,3,2,1
12,4,3,2,1
12,3,4,2,1
12,5,7,2,1
12,4,4,2,1
12,5,5,2,1
12,5,4,2,1
12,3,4,2,1
12,5,5,2,1
12,5,3,2,1
12,4,5,2,0
12,4,3,2,1
12,4,3,2,0
12,6,5,2,1
12,4,4,2,1
12,4,3,2,1
12,5,4,2,1
12,4,5,2,1
12,5,3,2,1
12,3,5,2,1
12,4,3,2,0
12,5,3,2,1
12,5,4,2,0
12,4,4,2,1
12,5,4,2,1
12,5,6,2,1
12,3,4,2,0
12,4,4,2,1
12,4,4,2,0
12,3,5,2,1
12,3,4,2,1
13,5,4,6,0
13,4,6,6,1
13,4,4,6,1
13,3,3,6,0
13,6,4,6,0
13,4,4,6,0
13,2,4,6,0
13,3,5,6,0
13,2,4,6,0
13,2,4,6,0
13,3,4,6,0
13,3,3,6,0
13,4,6,6,0
13,5,4,6,0
13,2,5,6,0
13,4,5,6,0
13,4,4,6,0
13,6,4,6,1
13,4,2,6,0
13,5,3,6,0
13,3,4,6,0
13,5,4,6,1
13,4,5,6,0
13,3,5,6,1
13,5,4,6,0
13,5,3,6,0
13,4,4,6,0
13,3,5,6,1
13,4,6,6,1
13,3,4,6,0
13,4,4,6,0
13,3,5,6,1
13,4,5,6,1
13,5,6,6,0
13,4,4,6,0
13,4,4,6,0
13,6,4,6,0
13,4,4,6,0
13,4,4,6,1
13,4,2,6,0
13,5,6,6,0
13,4,5,6,0
13,4,5,6,0
13,5,4,6,0
14,6,4,5,1
14,4,4,5,1
14,4,5,5,1
14,4,5,5,1
14,4,5,5,1
14,4,4,5,1
14,4,5,5,1
14,5,5,5,1
14,3,6,5,1
14,3,2,5,1
14,4,5,5,1
14,5,4,5,1
14,5,6,5,1
14,3,4,5,1
14,5,3,5,1
14,4,6,5,1
14,5,4,5,1
14,4,4,5,1
14,4,4,5,1
14,4,5,5,1
14,4,4,5,1
14,4,6,5,1
14,4,4,5,1
14,5,4,5,1
14,4,4,5,1
14,5,6,5,1
14,5,4,5,1
14,4,3,5,1
14,5,5,5,1
14,3,5,5,0
14,3,3,5,1
14,4,4,5,1
14,3,5,5,1
14,5,6,5,1
14,3,4,5,1
14,3,5,5,1
14,4,4,5,1
15,4,4,1,1
15,4,6,1,1
15,5,5,1,1
15,4,4,1,1
15,3,4,1,1
15,4,5,1,1
15,3,4,1,0
15,5,6,1,1
15,6,3,1,1
15,2,3,1,1
15,5,5,1,1
15,5,6,1,1
15,3,4,1,0
15,4,3,1,1
15,5,4,1,1
15,4,5,1,1
15,5,3,1,1
15,5,3,1,0
15,4,4,1,1
15,4,3,1,1
15,3,4,1,1
15,3,3,1,1
15,4,2,1,1
15,5,5,1,1
15,4,4,1,1
15,4,4,1,1
15,3,4,1,1
15,5,4,1,1
15,4,4,1,1
15,4,3,1,1
15,5,5,1,1
15,3,4,1,1
15,5,4,1,1
15,2,4,1,1
15,5,3,1,1
15,3,4,1,1
15,4,5,1,1
15,3,4,1,1
15,6,4,1,1
16,4,4,7,0
16,4,6,7,1
16,4,4,7,0
16,4,5,7,0
16,4,4,7,0
16,3,4,7,0
16,4,5,7,0
16,4,3,7,0
16,5,5,7,1
16,6,5,7,1
16,4,3,7,0
16,4,5,7,1
16,2,5,7,0
16,3,7,7,1
16,4,4,7,0
16,4,4,7,0
16,6,4,7,0
16,4,4,7,0
16,3,4,7,0
16,4,4,7,0
16,5,5,7,1
16,4,5,7,1
16,4,4,7,1
16,5,2,7,0
16,4,3,7,0
16,4,5,7,0
16,4,4,7,0
16,5,5,7,1
16,5,6,7,1
16,3,4,7,1
16,4,7,7,0
16,3,3,7,0
16,3,5,7,1
16,4,2,7,0
16,4,5,7,1
16,4,5,7,1
16,4,4,7,1
16,4,4,7,1
17,3,5,5,0
17,3,5,5,0
17,4,6,5,0
17,4,3,5,0
17,4,4,5,0
17,2,4,5,0
17,4,4,5,0
17,3,4,5,0
17,4,4,5,0
17,3,4,5,0
17,3,4,5,0
17,5,4,5,0
17,5,4,5,0
17,2,5,5,0
17,5,5,5,0
17,4,3,5,0
17,3,5,5,1
17,4,6,5,0
17,4,4,5,0
17,4,3,5,0
17,4,6,5,0
17,3,4,5,0
17,4,3,5,0
17,3,5,5,0
17,2,4,5,0
17,4,5,5,1
17,4,4,5,0
17,4,5,5,1
17,4,2,5,0
17,4,5,5,0
17,5,5,5,0
17,4,3,5,0
17,4,4,5,0
17,6,4,5,1
17,7,5,5,0
17,4,4,5,0
17,5,5,5,1
17,4,4,5,0
17,4,4,5,0
17,4,4,5,0
17,3,6,5,0
17,5,5,5,0
17,5,4,5,0
18,4,5,5,1
18,4,4,5,0
18,3,3,5,1
18,5,4,5,0
18,2,3,5,1
18,4,4,5,1
18,4,4,5,0
18,4,5,5,0
18,3,4,5,1
18,4,5,5,1
18,5,4,5,1
18,4,5,5,1
18,4,5,5,1
18,4,5,5,0
18,4,5,5,1
18,3,4,5,1
18,3,4,5,0
18,4,4,5,1
18,3,4,5,0
18,3,4,5,0
18,5,5,5,1
18,2,4,5,0
18,4,5,5,0
18,4,4,5,0
18,3,4,5,0
18,4,4,5,1
18,4,4,5,0
18,3,5,5,0
18,5,6,5,1
18,5,3,5,0
18,4,5,5,1
18,4,4,5,1
18,4,4,5,0
18,4,2,5,0
18,4,5,5,0
19,4,5,1,1
19,2,3,1,1
19,3,5,1,1
19,6,5,1,1
19,3,3,1,0
19,5,6,1,1
19,5,5,1,0
19,3,4,1,0
19,4,4,1,1
19,4,4,1,1
19,5,5,1,1
19,4,4,1,1
19,4,1,1,1
19,4,5,1,1
19,3,4,1,1
19,5,4,1,1
19,3,4,1,1
19,4,5,1,1
19,3,6,1,0
19,5,4,1,1
19,2,4,1,0
19,2,4,1,1
19,5,5,1,1
19,5,4,1,1
19,4,6,1,1
19,3,4,1,0
19,5,4,1,1
19,4,3,1,1
19,4,3,1,1
19,4,5,1,1
19,5,3,1,1
19,3,3,1,1
19,3,5,1,1
19,3,5,1,1
19,4,4,1,1
19,6,3,1,1
19,4,4,1,1
19,4,5,1,1
19,4,4,1,0
19,2,5,1,1
20,3,3,4,0
20,3,4,4,0
20,3,5,4,0
20,2,4,4,0
20,6,4,4,0
20,3,3,4,0
20,3,5,4,0
20,2,6,4,0
20,3,4,4,0
20,4,4,4,0
20,4,4,4,0
20,4,4,4,0
20,3,5,4,0
20,4,4,4,0
20,3,3,4,0
20,5,3,4,0
20,5,3,4,0
20,4,4,4,0
20,5,5,4,0
20,4,5,4,0
20,4,5,4,0
20,3,3,4,0
20,3,3,4,0
20,3,3,4,0
20,5,5,4,0
20,3,5,4,0
20,4,5,4,0
20,4,5,4,0
20,5,4,4,0
20,4,4,4,0
20,5,3,4,0
20,3,5,4,0
20,3,5,4,0
20,4,6,4,0
20,3,5,4,0
20,5,3,4,0
20,5,5,4,0
20,4,5,4,0
20,5,4,4,0
21,3,4,3,1
21,4,5,3,1
21,3,5,3,0
21,2,5,3,0
21,5,6,3,1
21,4,4,3,0
21,4,3,3,0
21,5,6,3,1
21,5,3,3,0
21,4,5,3,0
21,4,6,3,1
21,4,4,3,0
21,4,5,3,0
21,3,3,3,0
21,4,4,3,0
21,5,4,3,0
21,4,4,3,0
21,2,6,3,0
21,4,4,3,0
21,4,2,3,0
21,4,4,3,0
21,3,3,3,0
21,5,4,3,1
21,6,5,3,1
21,3,3,3,0
21,4,4,3,1
21,4,3,3,0
21,4,4,3,0
21,3,5,3,1
21,4,4,3,1
21,4,4,3,0
21,3,6,3,0
21,4,4,3,1
21,4,5,3,0
21,3,4,3,0
21,4,3,3,0
21,5,5,3,0
21,3,4,3,1
22,4,5,6,1
22,3,3,6,0
22,3,6,6,0
22,4,3,6,0
22,3,4,6,0
22,4,3,6,0
22,5,3,6,1
22,4,3,6,0
22,3,4,6,0
22,5,4,6,0
22,5,5,6,1
22,4,4,6,0
22,4,6,6,0
22,5,4,6,0
22,4,4,6,0
22,4,4,6,0
22,4,5,6,0
22,5,5,6,0
22,3,3,6,0
22,3,4,6,1
22,4,5,6,0
22,3,4,6,0
22,5,4,6,0
22,4,4,6,0
22,4,4,6,1
22,5,5,6,0
22,5,4,6,1
22,3,4,6,0
22,5,5,6,0
22,3,4,6,0
22,4,4,6,0
22,4,5,6,1
22,3,4,6,0
22,2,4,6,1
22,3,6,6,0
22,2,4,6,0
22,4,5,6,0
22,3,4,6,0
22,6,4,6,1
23,6,4,1,1
23,3,3,1,1
23,4,4,1,1
23,5,4,1,1
23,5,3,1,1
23,4,4,1,0
23,3,4,1,0
23,4,5,1,0
23,3,3,1,1
23,3,6,1,1
23,4,4,1,1
23,5,4,1,0
23,2,4,1,1
23,4,5,1,0
23,3,4,1,0
23,5,5,1,1
23,4,5,1,1
23,4,4,1,1
23,4,5,1,0
23,3,3,1,1
23,2,4,1,1
23,7,4,1,1
23,4,6,1,0
23,3,4,1,0
23,3,5,1,0
23,3,5,1,0
23,5,3,1,1
23,4,4,1,1
23,2,3,1,1
23,4,5,1,1
23,3,5,1,1
23,4,4,1,0
23,4,2,1,0
23,3,6,1,0
23,3,5,1,1
23,2,5,1,0
23,3,5,1,0
23,5,3,1,0
23,3,3,1,1
24,5,4,2,1
24,4,4,2,1
24,4,4,2,1
24,4,4,2,1
24,4,4,2,1
24,4,4,2,1
24,5,3,2,1
24,5,5,2,1
24,3,6,2,1
24,3,4,2,1
24,4,5,2,1
24,4,2,2,1
24,5,4,2,1
24,6,4,2,1
24,4,5,2,1
24,4,4,2,1
24,3,5,2,1
24,4,4,2,1
24,4,4,2,1
24,4,5,2,1
24,4,4,2,1
24,4,4,2,1
24,3,4,2,1
24,4,4,2,1
24,4,4,2,1
24,3,5,2,1
24,4,6,2,1
24,4,4,2,1
24,3,3,2,0
24,4,5,2,1
24,4,5,2,1
24,3,3,2,1
24,4,2,2,1
24,3,5,2,1
24,5,5,2,1
24,4,6,2,1
24,5,4,2,1
24,4,5,2,1
24,4,4,2,1
24,5,5,2,1
24,5,4,2,1
24,4,3,2,1
25,4,5,4,1
25,4,4,4,1
25,3,4,4,0
25,4,4,4,0
25,5,4,4,0
25,4,5,4,0
25,3,4,4,0
25,4,4,4,0
25,5,6,4,1
25,4,4,4,0
25,4,3,4,0
25,3,4,4,0
25,5,5,4,0
25,5,4,4,0
25,4,4,4,0
25,4,6,4,0
25,4,4,4,0
25,3,3,4,0
25,5,2,4,0
25,3,3,4,0
25,5,5,4,0
25,5,3,4,0
25,5,6,4,0
25,5,3,4,0
25,3,3,4,0
25,1,6,4,0
25,4,3,4,1
25,4,4,4,0
25,5,1,4,0
25,3,3,4,0
25,4,4,4,0
25,4,4,4,0
25,4,4,4,0
25,5,4,4,1
25,2,5,4,0
25,2,4,4,0
25,5,4,4,0
25,5,4,4,0
25,3,4,4,0
25,3,4,4,0
26,4,4,5,0
26,6,5,5,0
26,3,4,5,0
26,6,4,5,0
26,3,4,5,0
26,4,6,5,0
26,5,4,5,0
26,4,2,5,0
26,2,5,5,0
26,3,3,5,0
26,5,4,5,0
26,5,4,5,0
26,4,4,5,0
26,5,6,5,0
26,4,5,5,0
26,3,3,5,0
26,4,4,5,0
26,3,5,5,0
26,4,4,5,0
26,4,4,5,0
26,6,5,5,0
26,4,4,5,0
26,4,5,5,0
26,3,5,5,0
26,4,3,5,0
26,4,4,5,0
26,4,4,5,0
26,4,4,5,0
26,5,4,5,0
26,4,4,5,0
26,4,6,5,0
26,3,4,5,0
26,5,5,5,0
26,2,6,5,0
26,4,4,5,0
26,4,3,5,0
26,3,2,5,0
26,5,3,5,0
26,5,4,5,0
27,3,3,4,1
27,4,4,4,0
27,5,5,4,1
27,5,5,4,1
27,4,4,4,1
27,6,3,4,1
27,4,3,4,1
27,3,5,4,1
27,3,3,4,1
27,3,5,4,1
27,4,4,4,1
27,4,2,4,0
27,2,3,4,0
27,3,4,4,0
27,4,5,4,1
27,5,4,4,1
27,4,4,4,0
27,5,3,4,1
27,3,4,4,1
27,5,4,4,1
27,2,4,4,1
27,3,5,4,1
27,3,4,4,0
27,5,4,4,1
27,3,6,4,1
27,3,5,4,0
27,5,4,4,1
27,3,4,4,0
27,5,4,4,1
27,3,4,4,1
27,3,4,4,0
27,3,4,4,0
27,3,4,4,0
27,5,4,4,1
27,4,5,4,1
27,4,4,4,1
27,3,4,4,1
28,4,4,7,1
28,3,5,7,1
28,5,4,7,1
28,3,4,7,0
28,4,5,7,1
28,4,4,7,1
28,4,4,7,1
28,3,2,7,0
28,4,6,7,1
28,4,5,7,1
28,4,6,7,1
28,3,4,7,1
28,3,6,7,1
28,4,3,7,1
28,4,4,7,1
28,2,6,7,1
28,4,5,7,1
28,3,5,7,1
28,4,4,7,0
28,5,5,7,1
28,3,6,7,1
28,4,5,7,1
28,4,5,7,1
28,4,5,7,1
28,3,5,7,1
28,6,3,7,1
28,5,4,7,1
28,3,5,7,1
28,4,4,7,1
28,5,5,7,1
28,3,5,7,1
28,3,6,7,1
28,4,5,7,1
28,4,4,7,1
28,4,5,7,1
28,4,4,7,1
28,3,6,7,1
28,2,6,7,1
28,4,5,7,1
28,5,3,7,1
29,4,3,7,0
29,2,6,7,0
29,4,5,7,0
29,3,3,7,0
29,5,5,7,1
29,4,3,7,0
29,4,5,7,0
29,3,4,7,0
29,4,5,7,0
29,5,3,7,0
29,5,4,7,1
29,2,6,7,0
29,3,4,7,0
29,3,5,7,0
29,4,5,7,0
29,5,6,7,0
29,4,5,7,0
29,4,5,7,0
29,4,3,7,0
29,3,3,7,0
29,3,1,7,0
29,5,3,7,0
29,2,5,7,0
29,4,5,7,0
29,3,4,7,0
29,4,3,7,1
29,4,6,7,1
29,5,3,7,0
29,2,3,7,0
29,5,3,7,0
29,4,5,7,0
29,4,4,7,0
29,4,4,7,0
29,5,4,7,0
29,5,4,7,0
29,4,5,7,0
29,3,5,7,0
29,3,4,7,0
29,4,4,7,0
29,4,3,7,0
30,5,4,2,1
30,5,5,2,1
30,5,4,2,1
30,5,3,2,1
30,4,5,2,1
30,3,5,2,1
30,3,4,2,1
30,3,3,2,1
30,5,4,2,1
30,3,5,2,0
30,3,4,2,1
30,4,4,2,1
30,5,5,2,1
30,5,4,2,1
30,4,6,2,1
30,3,4,2,1
30,4,4,2,1
30,4,5,2,1
30,3,4,2,1
30,4,4,2,1
30,3,5,2,1
30,3,6,2,1
30,5,4,2,1
30,4,4,2,1
30,5,3,2,1
30,4,2,2,0
30,4,6,2,1
30,4,3,2,0
30,5,6,2,1
30,3,6,2,1
30,4,5,2,1
30,5,5,2,1
30,3,6,2,1
30,3,5,2,1
30,4,5,2,0
30,6,4,2,1
30,3,4,2,1
30,4,6,2,1
30,3,3,2,1
31,4,6,1,1
31,6,4,1,1
31,5,4,1,1
31,4,3,1,1
31,4,4,1,1
31,3,5,1,1
31,4,5,1,1
31,4,5,1,1
31,3,5,1,1
31,4,3,1,1
31,5,2,1,1
31,2,4,1,1
31,4,4,1,1
31,5,3,1,0
31,3,4,1,1
31,3,5,1,1
31,6,6,1,1
31,4,3,1,1
31,3,3,1,1
31,4,6,1,1
31,3,3,1,1
31,3,4,1,1
31,4,5,1,1
31,4,4,1,1
31,4,6,1,0
31,4,5,1,0
31,5,4,1,1
31,3,4,1,1
31,4,5,1,1
31,4,7,1,0
31,3,3,1,1
31,5,6,1,1
31,3,4,1,1
31,4,6,1,1
31,4,4,1,1
31,5,4,1,1
31,4,4,1,0
31,5,3,1,1
31,4,3,1,1
31,2,3,1,1
32,4,5,4,0
32,5,5,4,1
32,4,4,4,1
32,5,3,4,0
32,5,6,4,0
32,5,4,4,1
32,4,4,4,0
32,5,3,4,0
32,4,3,4,0
32,3,5,4,1
32,4,6,4,1
32,4,4,4,0
32,5,4,4,1
32,4,5,4,1
32,4,4,4,0
32,3,5,4,1
32,4,4,4,1
32,5,5,4,1
32,3,5,4,1
32,3,4,4,1
32,4,5,4,0
32,5,4,4,1
32,5,5,4,1
32,5,4,4,1
32,3,4,4,1
32,3,4,4,0
32,4,4,4,1
32,3,5,4,0
32,4,6,4,1
32,3,5,4,1
32,4,5,4,1
32,3,4,4,1
32,4,4,4,0
32,4,3,4,1
32,5,5,4,1
33,4,5,6,1
33,5,6,6,1
33,4,3,6,0
33,4,4,6,1
33,4,6,6,1
33,2,6,6,0
33,5,4,6,1
33,4,6,6,1
33,4,6,6,1
33,5,5,6,1
33,3,3,6,0
33,5,3,6,1
33,5,5,6,1
33,3,5,6,1
33,4,4,6,1
33,4,5,6,1
33,4,5,6,1
33,4,3,6,0
33,3,6,6,1
33,2,4,6,1
33,4,4,6,1
33,5,5,6,1
33,4,5,6,1
33,5,4,6,1
33,3,5,6,1
33,2,3,6,1
33,4,4,6,1
33,4,5,6,1
33,6,6,6,1
33,3,5,6,1
33,5,5,6,1
33,4,5,6,1
33,3,4,6,0
33,3,5,6,1
33,5,4,6,0
33,5,3,6,1
33,4,4,6,1
33,2,4,6,0
33,4,4,6,0
33,5,4,6,1
33,3,5,6,0
33,3,4,6,1
33,4,4,6,1
33,5,4,6,1
33,4,4,6,1
33,5,3,6,1
34,4,3,7,0
34,5,2,7,0
34,3,3,7,0
34,5,4,7,0
34,4,3,7,0
34,4,4,7,0
34,4,4,7,0
34,4,4,7,0
34,4,5,7,0
34,4,5,7,0
34,4,5,7,0
34,3,6,7,0
34,4,5,7,0
34,4,4,7,0
34,4,4,7,0
34,4,4,7,0
34,4,3,7,0
34,4,5,7,0
34,3,4,7,0
34,6,3,7,0
34,5,2,7,0
34,4,6,7,1
34,3,5,7,0
34,4,5,7,0
34,5,4,7,0
34,5,5,7,0
34,5,6,7,0
34,3,5,7,0
34,5,5,7,0
34,4,6,7,0
34,6,7,7,0
34,5,3,7,0
34,5,7,7,1
34,5,6,7,0
34,3,5,7,0
34,3,3,7,0
34,4,4,7,0
34,4,5,7,0
34,4,6,7,0
34,3,4,7,0
34,5,5,7,0
34,4,4,7,0
34,4,4,7,0
34,4,5,7,0
34,4,6,7,0
34,4,6,7,0
34,6,5,7,0
35,4,5,7,1
35,5,5,7,1
35,3,3,7,1
35,4,4,7,1
35,5,4,7,1
35,5,5,7,1
35,4,4,7,1
35,4,5,7,1
35,2,5,7,1
35,4,2,7,1
35,5,2,7,1
35,4,4,7,0
35,5,4,7,1
35,4,4,7,1
35,3,4,7,0
35,3,5,7,1
35,4,3,7,1
35,5,2,7,1
35,3,3,7,0
35,4,4,7,1
35,6,5,7,1
35,2,5,7,1
35,5,4,7,1
35,3,6,7,1
35,5,5,7,1
35,4,6,7,1
35,4,4,7,1
35,5,4,7,1
35,4,3,7,1
35,5,4,7,1
35,3,3,7,1
35,6,6,7,1
